Code,Yield,Price,MaxPrice
KNIP11,9.52,92.2,118.85143570536827
KNCR11,13.67,103.03,170.66167290886392
HGLG11,14.70,161.73,183.5205992509363
KNRI11,12.03,160.8,150.18726591760299
XPML11,9.86,111.91,123.09612983770286
VISC11,10.23,118.1,127.71535580524345
XPLG11,9.10,107.1,113.60799001248438
MXRF11,1.34,10.96,16.729088639201
IRDM11,10.10,77.18,126.0923845193508
HGBS11,18.90,224.06,235.95505617977526
BTLG11,8.98,99.86,112.10986267166042
CPTS11,0.85,7.95,10.611735330836453
HGRU11,11.84,130.65,147.81523096129837
RECR11,10.80,83.05,134.8314606741573
TGAR11,16.54,120.12,206.49188514357053
KNHY11,12.70,101.29,158.55181023720348
BCFF11,6.72,72.01,83.89513108614231
LVBI11,9.26,116.04,115.60549313358301
BRCO11,9.61,122.24,119.97503121098626
TRXF11,10.80,108.46,134.8314606741573
PVBI11,7.59,101.85,94.7565543071161
HFOF11,7.54,73.1,94.13233458177278
HGCR11,13.90,104.05,173.53308364544318
HGRE11,10.30,132.55,128.5892634207241
MCCI11,11.55,92.23,144.1947565543071
RBVA11,11.89,108.08,148.4394506866417
BRCR11,5.39,57.81,67.29088639200998
JSRE11,5.61,73.09,70.0374531835206
VILG11,8.12,98.84,101.3732833957553
TVRI11,10.85,92.42,135.4556803995006
HSML11,8.74,93.39,109.11360799001248
VRTA11,10.32,88.25,128.83895131086143
VCJR11,10.66,90.13,133.083645443196
KNSC11,1.05,9.03,13.108614232209737
RBRR11,9.95,88.31,124.21972534332083
HSLG11,8.67,92.26,108.23970037453182
RZTR11,11.41,102.24,142.4469413233458
ALZR11,9.70,113.9,121.09862671660423
GGRC11,11.77,112.76,146.94132334581772
RBRF11,7.32,77.89,91.38576779026216
MALL11,9.61,115.81,119.97503121098626
GALG11,0.99,9.37,12.359550561797752
VGIP11,10.42,86.4,130.08739076154805
VGIR11,1.47,9.8,18.35205992509363
URPR11,14.83,86.49,185.14357053682895
CVBI11,11.40,90.2,142.32209737827716
GTWR11,9.43,81.48,117.7278401997503
RBRY11,14.05,100.51,175.40574282147315
BTCI11,1.24,9.72,15.480649188514356
VGHF11,1.28,9.37,15.980024968789014
HCTR11,7.18,36.28,89.63795255930087
XPCI11,10.74,87.5,134.0823970037453
RZAK11,14.98,85.49,187.01622971285892
HABT11,13.69,88.14,170.91136079900124
BROF11,4.06,60.29,50.68664169787765
VINO11,0.75,7.7,9.363295880149812
RBRP11,3.21,51.71,40.074906367041194
TRBL11,9.53,97.87,118.97627965043694
DEVA11,8.73,44.62,108.98876404494382
MGFF11,6.27,67.75,78.27715355805242
XPIN11,7.80,82.8,97.37827715355805
RBRL11,7.86,87.33,98.12734082397003
RCRB11,9.03,147.5,112.73408239700373
BTAL11,9.27,79.88,115.73033707865167
SARE11,6.86,47.7,85.64294631710362
BCRI11,9.87,70.01,123.22097378277152
MFII11,13.14,91.2,164.04494382022472
KFOF11,9.20,93.98,114.85642946317103
SNCI11,12.35,99.4,154.18227215980025
CACR11,17.46,101.54,217.97752808988764
TEPP11,6.77,89.13,84.51935081148564
BARI11,9.80,80.98,122.34706616729089
RECT11,5.56,43.05,69.41323345817727
BCIA11,9.57,98.14,119.47565543071161
KISU11,0.90,8.18,11.235955056179774
XPSF11,0.91,8.19,11.36079900124844
AFHI11,12.64,95.74,157.8027465667915
KCRE11,11.13,94.2,138.95131086142322
PATL11,7.08,66.85,88.38951310861422
PORD11,12.17,88.99,151.93508114856428
RZAT11,11.35,88.84,141.6978776529338
OUJP11,14.25,94.92,177.90262172284642
BPFF11,7.44,69.5,92.88389513108615
LGCP11,7.55,85.7,94.25717852684144
MCHF11,1.16,8.59,14.481897627965042
AIEC11,9.13,58.6,113.98252184769039
HTMX11,20.49,169.96,255.80524344569284
SNFF11,8.60,87.06,107.36579275905117
HGFF11,7.95,85.21,99.25093632958801
WHGR11,1.18,9.42,14.73158551810237
RBFF11,6.04,61,75.40574282147315
HSAF11,10.50,86.42,131.08614232209737
VIUR11,0.86,8.02,10.736579275905118
BTRA11,9.17,61.93,114.48189762796504
BLMG11,8.84,53.69,110.36204744069911
CPFF11,6.71,73.42,83.77028714107365
PLCR11,11.85,88.18,147.94007490636702
MORE11,7.36,75.5,91.88514357053683
BLMR11,0.74,6.79,9.238451935081148
RBRX11,14.03,91.66,175.1560549313358
JSAF11,11.30,100.43,141.07365792759052
CYCR11,1.23,9.38,15.355805243445692
VCRI11,1.25,8.03,15.605493133583021
XPPR11,1.80,19.05,22.47191011235955
NCHB11,11.83,79.87,147.6903870162297
SADI11,12.27,85.39,153.18352059925093
VSLH11,0.60,4.32,7.49063670411985
ARRI11,1.29,8.78,16.10486891385768
TORD11,0.17,2.13,2.1223470661672907
